White,,,Alpha,,,Mark,,,Number,,,Punctuation,,,Symbol,,,Space,,,Graphical,,,Control,,,Format,,,Noncharacter,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 7_5_9 ,744,, 8_4_9 ,4392,, 7_5_9 ,2608,, 9_5_7 ,2776,, 8_5_8 ,2776,, 8_5_8 ,3400,, 7_5_9 ,744,, 9_4_8 ,5256,, 7_5_9 ,456,, 7_5_9 ,1184,, 9_4_8 ,5336
 7_6_8 ,792,, 7_5_9 ,4400,, 8_5_8 ,2608,, 8_5_8 ,2920,, 7_6_8 ,2800,, 9_4_8 ,3416,, 7_6_8 ,792,, 8_5_8 ,5336,, 7_4_10 ,512,, 8_4_9 ,1352,, 8_4_9 ,5352
 6_6_9 ,824,, 9_4_8 ,4416,, 9_4_8 ,2696,, 7_6_8 ,2936,, 9_4_8 ,2896,, 9_5_7 ,3472,, 6_6_9 ,824,, 7_5_9 ,5392,, 6_5_10 ,520,, 8_5_8 ,1376,, 7_5_9 ,5376
 8_5_8 ,1032,, 8_5_8 ,4432,, 8_4_9 ,2720,, 9_4_8 ,2976,, 7_5_9 ,2928,, 7_5_9 ,3544,, 8_5_8 ,1032,, 8_4_9 ,5392,, 6_6_9 ,536,, 9_4_8 ,1416,, 6_6_9 ,5512
 7_4_10 ,1056,, 6_6_9 ,4440,, 6_6_9 ,2824,, 7_5_9 ,2984,, 9_5_7 ,2992,, 7_6_8 ,3552,, 7_4_10 ,1056,, 6_6_9 ,5480,, 5_6_10 ,632,, 6_6_9 ,1456,, 8_5_8 ,5520
 6_5_10 ,1064,, 5_7_9 ,4616,, 7_6_8 ,2832,, 8_6_7 ,3008,, 6_6_9 ,3048,, 8_6_7 ,3640,, 7_7_7 ,1056,, 9_5_7 ,5704,, 7_6_8 ,632,, 7_6_8 ,1536,, 9_5_7 ,5752
 7_7_7 ,1080,, 7_6_8 ,4832,, 9_5_7 ,2992,, 6_6_9 ,3152,, 8_6_7 ,3096,, 6_6_9 ,3656,, 6_5_10 ,1064,, 7_6_8 ,5728,, 6_4_11 ,680,, 9_5_7 ,1552,, 5_7_9 ,5896
 9_4_8 ,1096,, 9_5_7 ,5008,, 5_7_9 ,3104,, 8_4_9 ,3152,, 8_4_9 ,3152,, 8_4_9 ,3656,, 8_6_7 ,1088,, 5_7_9 ,5760,, 5_5_11 ,720,, 7_4_10 ,1592,, 7_6_8 ,5904
 5_7_9 ,1104,, 6_7_8 ,5112,, 8_6_7 ,3160,, 9_6_6 ,3184,, 7_4_10 ,3192,, 7_4_10 ,3664,, 9_4_8 ,1096,, 10_4_7 ,5952,, 5_7_9 ,816,, 6_5_10 ,1696,, 10_4_7 ,5968
 6_7_8 ,1112,, 6_5_10 ,5152,, 7_4_10 ,3256,, 7_7_7 ,3216,, 6_5_10 ,3216,, 6_5_10 ,3680,, 5_7_9 ,1104,, 6_7_8 ,6136,, 9_4_8 ,816,, 5_7_9 ,1736,, 7_4_10 ,6336
 8_6_7 ,1112,, 7_4_10 ,5184,, 6_5_10 ,3328,, 5_7_9 ,3328,, 6_7_8 ,3240,, 5_6_10 ,3728,, 6_7_8 ,1112,, 6_5_10 ,6160,, 4_6_11 ,832,, 5_6_10 ,1792,, 8_6_7 ,6344
 8_4_9 ,1136,, 5_6_10 ,5192,, 5_6_10 ,3424,, 10_4_7 ,3336,, 7_7_7 ,3312,, 5_7_9 ,3832,, 8_4_9 ,1136,, 7_4_10 ,6168,, 8_4_9 ,848,, 8_6_7 ,1800,, 6_5_10 ,6352
 5_6_10 ,1176,, 4_8_9 ,5232,, 6_7_8 ,3528,, 10_5_6 ,3488,, 5_6_10 ,3320,, 4_7_10 ,3928,, 9_5_7 ,1168,, 8_6_7 ,6232,, 8_5_8 ,872,, 10_4_7 ,2040,, 6_7_8 ,6440
 9_5_7 ,1192,, 10_4_7 ,5320,, 10_4_7 ,3584,, 6_7_8 ,3504,, 5_7_9 ,3328,, 6_7_8 ,3984,, 5_6_10 ,1176,, 5_6_10 ,6248,, 9_5_7 ,904,, 9_6_6 ,2064,, 5_6_10 ,6488
 8_7_6 ,1456,, 8_6_7 ,5408,, 9_6_6 ,3704,, 8_7_6 ,3728,, 9_6_6 ,3328,, 9_6_6 ,4008,, 8_7_6 ,1440,, 4_8_9 ,6584,, 4_7_10 ,936,, 4_7_10 ,2096,, 4_8_9 ,6512
 4_7_10 ,1480,, 4_7_10 ,5496,, 4_8_9 ,3720,, 4_8_9 ,3736,, 4_7_10 ,3520,, 10_4_7 ,4024,, 4_7_10 ,1480,, 10_5_6 ,6640,, 6_7_8 ,952,, 10_5_6 ,2264,, 10_5_6 ,6616
 9_6_6 ,1544,, 5_8_8 ,5568,, 4_7_10 ,3728,, 7_4_10 ,3768,, 8_7_6 ,3616,, 6_4_11 ,4184,, 9_6_6 ,1528,, 4_7_10 ,6656,, 7_7_7 ,1008,, 7_7_7 ,2280,, 4_7_10 ,6792
 4_8_9 ,1720,, 10_5_6 ,6304,, 7_7_7 ,3768,, 6_5_10 ,3816,, 10_4_7 ,3616,, 5_5_11 ,4200,, 4_8_9 ,1720,, 5_8_8 ,6848,, 8_6_7 ,1040,, 4_8_9 ,2352,, 9_6_6 ,7008
 6_4_11 ,1736,, 7_7_7 ,6384,, 10_5_6 ,4072,, 5_6_10 ,3864,, 4_8_9 ,3736,, 4_8_9 ,4240,, 6_4_11 ,1736,, 9_6_6 ,6968,, 9_6_6 ,1072,, 6_4_11 ,2360,, 5_8_8 ,7408
 5_5_11 ,1776,, 9_6_6 ,6504,, 8_7_6 ,4120,, 5_8_8 ,3968,, 10_5_6 ,3760,, 7_7_7 ,4248,, 6_8_7 ,1760,, 7_7_7 ,7200,, 5_4_12 ,1160,, 6_7_8 ,2368,, 7_7_7 ,7440
 6_8_7 ,1784,, 6_8_7 ,7048,, 5_8_8 ,4248,, 4_7_10 ,4064,, 5_8_8 ,3968,, 4_6_11 ,4264,, 5_5_11 ,1776,, 6_4_11 ,7952,, 4_5_12 ,1200,, 5_5_11 ,2400,, 11_4_6 ,8016
 7_8_6 ,1816,, 4_9_8 ,7088,, 6_4_11 ,4472,, 10_6_5 ,4096,, 10_6_5 ,4096,, 10_5_6 ,4304,, 10_4_7 ,1792,, 5_5_11 ,7992,, 8_7_6 ,1392,, 4_6_11 ,2504,, 6_4_11 ,8240
