           std-0 [arwiki],   221.957, 40.25
           std-1 [arwiki],   368.457, 24.25
           std-2 [arwiki],   402.202, 22.21
           std-3 [arwiki],   522.941, 17.08
           std-4 [arwiki],   1934.61, 4.62
  inv-uint-alpha [arwiki],   597.877, 14.94
   inv-uint-mark [arwiki],   586.602, 15.23
    inv-uint-num [arwiki],    545.09, 16.39
    inv-uint-sym [arwiki],    573.49, 15.58
  tri-uint-alpha [arwiki],   213.006, 41.94
   tri-uint-mark [arwiki],   202.217, 44.18
    tri-uint-num [arwiki],   202.394, 44.14
    tri-uint-sym [arwiki],    201.98, 44.23
           std-0 [dewiki],    451.91, 91.12
           std-1 [dewiki],   2342.33, 17.58
           std-2 [dewiki],   2191.17, 18.79
           std-3 [dewiki],   3539.93, 11.63
           std-4 [dewiki],   13666.9, 3.01
  inv-uint-alpha [dewiki],    4382.3, 9.40
   inv-uint-mark [dewiki],    4249.6, 9.69
    inv-uint-num [dewiki],   3672.06, 11.21
    inv-uint-sym [dewiki],   4193.71, 9.82
  tri-uint-alpha [dewiki],   1131.08, 36.40
   tri-uint-mark [dewiki],   1009.82, 40.78
    tri-uint-num [dewiki],   1026.89, 40.10
    tri-uint-sym [dewiki],   1020.12, 40.36
           std-0 [enwiki],   1967.88, 94.21
           std-1 [enwiki],   10537.9, 17.59
           std-2 [enwiki],   9865.03, 18.79
           std-3 [enwiki],   16426.8, 11.29
           std-4 [enwiki],   62030.4, 2.99
  inv-uint-alpha [enwiki],   20229.5, 9.16
   inv-uint-mark [enwiki],   19258.5, 9.63
    inv-uint-num [enwiki],   16676.1, 11.12
    inv-uint-sym [enwiki],   19057.9, 9.73
  tri-uint-alpha [enwiki],   5118.73, 36.22
   tri-uint-mark [enwiki],   4531.23, 40.92
    tri-uint-num [enwiki],   4557.39, 40.68
    tri-uint-sym [enwiki],   4632.51, 40.02
           std-0 [ruwiki],   1400.26, 43.30
           std-1 [ruwiki],   2547.43, 23.80
           std-2 [ruwiki],   2498.81, 24.26
           std-3 [ruwiki],   3563.08, 17.02
           std-4 [ruwiki],   13205.6, 4.59
  inv-uint-alpha [ruwiki],   4102.54, 14.78
   inv-uint-mark [ruwiki],   4095.51, 14.80
    inv-uint-num [ruwiki],   3684.43, 16.46
    inv-uint-sym [ruwiki],   3934.42, 15.41
  tri-uint-alpha [ruwiki],   1432.56, 42.32
   tri-uint-mark [ruwiki],   1380.71, 43.91
    tri-uint-num [ruwiki],   1382.08, 43.87
    tri-uint-sym [ruwiki],   1375.14, 44.09
